Algorithm,InputSize,Time
insertion_sort,4,0.04
insertion_sort,8,0.04
insertion_sort,16,0.04
insertion_sort,32,0.04
insertion_sort,64,0.03
insertion_sort,128,0.04
insertion_sort,256,0.04
insertion_sort,512,0.04
insertion_sort,1024,0.06
insertion_sort,2048,0.15
insertion_sort,4096,0.49
insertion_sort,8192,1.97
insertion_sort,16384,7.59
insertion_sort,32768,30.82
insertion_sort,65536,126.46
