Algorithm,InputSize,Time
insertion_sort,4,0.04
insertion_sort,8,0.04
insertion_sort,16,0.04
insertion_sort,32,0.04
insertion_sort,64,0.04
insertion_sort,128,0.04
insertion_sort,256,0.04
insertion_sort,512,0.05
insertion_sort,1024,0.06
insertion_sort,2048,0.10
insertion_sort,4096,0.29
insertion_sort,8192,1.04
insertion_sort,16384,4.17
insertion_sort,32768,16.72
insertion_sort,65536,65.70
