Algorithm,InputSize,Time
selection_sort,4,0.02
selection_sort,8,0.02
selection_sort,16,0.02
selection_sort,32,0.02
selection_sort,64,0.02
selection_sort,128,0.02
selection_sort,256,0.02
selection_sort,512,0.02
selection_sort,1024,0.04
selection_sort,2048,0.08
selection_sort,4096,0.26
selection_sort,8192,0.97
selection_sort,16384,4.37
selection_sort,32768,15.48
selection_sort,65536,63.84
