Algorithm,InputSize,Time
quick_sort_left_pivot,4,0.05
quick_sort_left_pivot,8,0.04
quick_sort_left_pivot,16,0.04
quick_sort_left_pivot,32,0.04
quick_sort_left_pivot,64,0.04
quick_sort_left_pivot,128,0.04
quick_sort_left_pivot,256,0.05
quick_sort_left_pivot,512,0.05
quick_sort_left_pivot,1024,0.07
quick_sort_left_pivot,2048,0.11
quick_sort_left_pivot,4096,0.33
quick_sort_left_pivot,8192,1.21
quick_sort_left_pivot,16384,4.65
quick_sort_left_pivot,32768,18.97
quick_sort_left_pivot,65536,74.48
