Algorithm,InputSize,Time
selection_sort,4,0.04
selection_sort,8,0.04
selection_sort,16,0.04
selection_sort,32,0.04
selection_sort,64,0.04
selection_sort,128,0.04
selection_sort,256,0.04
selection_sort,512,0.04
selection_sort,1024,0.05
selection_sort,2048,0.10
selection_sort,4096,0.29
selection_sort,8192,1.04
selection_sort,16384,4.65
selection_sort,32768,16.31
selection_sort,65536,66.50
